"genre","year","budget","gross","number","score","runtime"
"Comedy",1983,7566818.18181818,23560097.1363636,22,5.87727272727273,100.590909090909
"Comedy",1984,7801428.57142857,24727239.8928571,28,6.15714285714286,99.6428571428571
"Comedy",1985,7688000,22735575.16,25,6.492,96.6
"Comedy",1986,11836718.75,29797466.78125,32,6.41875,99.78125
"Comedy",1987,12448585.8918919,31722897.8108108,37,6.2027027027027,99.9189189189189
"Comedy",1988,12939583.3333333,36902228.0208333,48,6.2125,101.291666666667
"Comedy",1989,13325000,48525979.6388889,36,6.52777777777778,104.777777777778
"Comedy",1990,13765718.75,45998662.28125,32,6.34375,99.96875
"Comedy",1991,17807842.1052632,30136964.1052632,38,6.12894736842105,103.605263157895
"Comedy",1992,22500734.483871,47256291.0645161,31,6.45806451612903,103.677419354839
"Comedy",1993,17272499.975,39984647.9,40,6.125,99.875
"Comedy",1994,19763408.1632653,41511116.5510204,49,6.09387755102041,101.469387755102
"Comedy",1995,16886467.6052632,43133349.9736842,38,6.46842105263158,102.210526315789
"Comedy",1996,20497169.8113208,37728332.1132075,53,6.10188679245283,102.943396226415
"Comedy",1997,21350609.7560976,57912337.0731707,41,6.14878048780488,98.8780487804878
"Comedy",1998,24303703.7037037,54057428.5925926,54,6.38703703703704,104.166666666667
"Comedy",1999,28985000,46574656.4333333,60,6.18333333333333,102.55
"Comedy",2000,33000961.5384615,66410963.7307692,52,6.025,102.461538461538
"Comedy",2001,25750961.5384615,59501658.3076923,52,6.09423076923077,98.0961538461538
"Comedy",2002,22046666.6666667,60857905.0444444,45,6.01555555555556,98.7111111111111
"Comedy",2003,31762765.9574468,90673963.2340426,47,5.97234042553191,100.489361702128
"Comedy",2004,31294642.8571429,68372295.3214286,56,5.87142857142857,101.910714285714
"Comedy",2005,30199367.3469388,67683591.5918367,49,6.20816326530612,102.408163265306
"Comedy",2006,27304761.9047619,75968764.1428571,42,6.08333333333333,102.214285714286
"Comedy",2007,34397435.8974359,92058104.6410256,39,6.01794871794872,102.974358974359
"Comedy",2008,31409523.8095238,96685214.3809524,42,5.99047619047619,102.5
"Comedy",2009,28568292.6829268,86692436.1707317,41,6.11707317073171,100.780487804878
"Comedy",2010,32330232.5581395,71987420.0465116,43,6.02790697674419,103.06976744186
"Comedy",2011,34350694.4444444,112813739.916667,36,6.29166666666667,103.833333333333
"Comedy",2012,28812926.8292683,76076693.1951219,41,6.22195121951219,103
"Comedy",2013,23127027.027027,77446488.2702703,37,6.4027027027027,102.918918918919
"Comedy",2014,21109090.9090909,66910737.3939394,33,6.32424242424242,104.727272727273
"Comedy",2015,20993939.3939394,66816882,33,6.31818181818182,103.606060606061
"Comedy",2016,19417857.1428571,66668174.0357143,28,6.37857142857143,105.178571428571
"Comedy",2017,21347619.047619,70134555.9047619,21,6.33333333333333,102.333333333333
"Comedy",2018,27341666.6666667,94026902.2916667,24,6.24583333333333,105.875
"Comedy",2019,21857142.8571429,92185399.1428571,21,6.60952380952381,112.428571428571
"Crime",1980,7825000,27894726.25,4,6.75,113.5
"Crime",1981,10016666.6666667,8917298.66666667,6,6.78333333333333,119.5
"Crime",1982,1.4e+07,6069766.66666667,3,6.53333333333333,106
"Crime",1983,11586666.6666667,25305575,6,7.01666666666667,116.166666666667
"Crime",1984,19083333.3333333,12781421.1666667,6,7.05,128.333333333333
"Crime",1985,9500000,36528219.5,2,6.75,107.5
"Crime",1986,10480000,10603948.4,5,6.58,107.8
"Crime",1987,10107692.3076923,16508059.9230769,13,6.38461538461539,107.230769230769
"Crime",1988,12600000,16360697.7,10,6.65,112.4
"Crime",1989,12500000,26678718,5,6.24,99.8
"Crime",1990,17412500,26062414,8,6.6,121.125
"Crime",1991,19250000,61489901.2,10,6.85,109.5
"Crime",1992,9500000,7722281.52941176,17,6.56470588235294,104.411764705882
